time;gFx;gFy;gFz;Latitude;Longitude;Speed (m/s);Altitude (m);
0,098396;0,2169;0,5482;0,8883;0,00000000;0,00000000;0,00000000;191,80000000;
0,198549;0,2472;0,3968;1,0730;55,74795333;48,74286000;0,82046723;191,90000000;
0,298856;0,1349;0,4055;0,7935;55,74795500;48,74288000;1,11746192;191,90000000;
0,398886;0,0078;0,4769;0,6499;55,74795500;48,74288000;1,11746192;191,90000000;
0,499002;-0,0596;0,5492;0,8590;55,74795500;48,74288000;1,11746192;191,90000000;
0,599715;-0,2853;0,6059;0,9469;55,74795500;48,74288000;1,11746192;191,90000000;
0,700177;-0,1309;0,2531;1,3994;55,74795500;48,74288000;1,11746192;191,90000000;
0,800702;-0,0215;0,4417;0,7349;55,74795500;48,74288000;1,11746192;191,90000000;
0,900802;-0,0518;0,3303;0,7652;55,74795500;48,74288000;1,11746192;191,90000000;
1,001100;0,0147;0,3459;0,8170;55,74795500;48,74288000;1,11746192;191,90000000;
1,101166;0,0450;0,4212;1,1287;55,74795500;48,74288000;1,11746192;191,90000000;
1,201783;0,0762;0,3205;1,0554;55,74795500;48,74288000;1,11746192;191,90000000;
1,305996;0,1603;0,1906;1,0691;55,74795500;48,74288000;1,11746192;191,90000000;
1,402423;0,0205;0,3567;0,7945;55,74795500;48,74288000;1,11746192;191,90000000;
1,503493;-0,0459;0,3753;0,6626;55,74795500;48,74288000;1,11746192;191,90000000;
1,603850;-0,2678;0,2707;1,0427;55,74795500;48,74288000;1,11746192;191,90000000;
1,704532;-0,1065;0,2873;0,9176;55,74795500;48,74288000;1,11746192;191,90000000;
1,804827;0,0342;0,5600;1,0339;55,74795500;48,74288000;1,11746192;191,90000000;
1,905544;0,2257;0,3694;1,1277;55,74795500;48,74288000;1,11746192;191,90000000;
2,006396;0,2824;0,3264;0,7241;55,74795500;48,74288000;1,11746192;191,90000000;
2,106751;0,0635;0,3498;0,7046;55,74795500;48,74288000;1,11746192;191,90000000;
2,207100;0,0293;0,4681;0,8013;55,74795500;48,74288000;1,11746192;191,90000000;
2,323849;0,2228;0,5365;0,9078;55,74797000;48,74289833;1,11849141;191,90000000;
2,408502;0,2619;0,3147;1,3437;55,74797000;48,74289833;1,11849141;191,90000000;
2,508979;0,1476;0,3362;0,8072;55,74797000;48,74289833;1,11849141;191,90000000;
2,609813;-0,0020;0,4202;0,6215;55,74797000;48,74289833;1,11849141;191,90000000;
2,710040;0,0577;0,4827;0,7359;55,74797000;48,74289833;1,11849141;191,90000000;
2,810293;-0,0371;0,5570;0,9352;55,74797000;48,74289833;1,11849141;191,90000000;
2,911189;0,1270;0,4407;1,2225;55,74797000;48,74289833;1,11849141;191,90000000;
3,011918;-0,0078;0,3821;0,8971;55,74797000;48,74289833;1,11849141;191,90000000;
3,112540;0,1837;0,3391;0,6274;55,74797000;48,74289833;1,11849141;191,90000000;
3,211935;0,1837;0,3938;0,5209;55,74797000;48,74289833;1,11849141;191,80000000;
3,313224;0,2257;0,4573;0,6997;55,74798167;48,74289500;1,19003773;191,80000000;
3,413878;0,3323;0,4231;0,9714;55,74798167;48,74289500;1,19003773;191,80000000;
3,514434;0,3860;0,3029;1,1375;55,74798167;48,74289500;1,19003773;191,80000000;
3,614673;0,3948;0,3753;0,7935;55,74798167;48,74289500;1,19003773;191,80000000;
3,715777;0,0283;0,3792;0,5297;55,74798167;48,74289500;1,19003773;191,80000000;
3,816302;-0,0577;0,4779;0,8052;55,74798167;48,74289500;1,19003773;191,80000000;
3,916823;0,0889;0,5111;1,4737;55,74798167;48,74289500;1,19003773;191,80000000;
4,017598;0,0537;0,1339;1,0818;55,74798167;48,74289500;1,19003773;191,80000000;
4,117976;0,3889;0,1524;0,8179;55,74798167;48,74289500;1,19003773;191,80000000;
4,217861;0,1319;0,1837;0,5140;55,74798167;48,74289500;1,19003773;191,70000000;
4,318327;0,4349;0,4534;0,7769;55,74799167;48,74289833;1,15143359;191,70000000;
4,419489;0,3088;0,3489;1,0847;55,74799167;48,74289833;1,15143359;191,70000000;
4,520043;0,4476;0,2599;1,5626;55,74799167;48,74289833;1,15143359;191,70000000;
4,620713;0,4134;0,3235;0,7339;55,74799167;48,74289833;1,15143359;191,70000000;
4,720792;-0,2179;0,2932;0,4525;55,74799167;48,74289833;1,15143359;191,70000000;
4,821580;-0,1368;0,5277;0,8619;55,74799167;48,74289833;1,15143359;191,70000000;
4,921600;-0,2150;0,6440;0,8961;55,74799167;48,74289833;1,15143359;191,70000000;
5,022533;-0,0596;0,3352;1,4228;55,74799167;48,74289833;1,15143359;191,70000000;
5,122713;-0,0381;0,3039;0,9538;55,74799167;48,74289833;1,15143359;191,70000000;
5,223489;0,0840;0,2404;0,8521;55,74799167;48,74289833;1,15143359;191,60000000;
5,324200;0,1437;0,4456;0,5756;55,74800667;48,74289000;1,54674029;191,60000000;
5,424809;0,1466;0,4603;0,9411;55,74800667;48,74289000;1,54674029;191,60000000;
5,525162;0,2580;0,4710;0,9821;55,74800667;48,74289000;1,54674029;191,60000000;
5,625914;0,2717;0,3078;1,0388;55,74800667;48,74289000;1,54674029;191,60000000;
5,726078;0,1642;0,2648;0,7955;55,74800667;48,74289000;1,54674029;191,60000000;
5,826822;-0,0137;0,3733;0,6069;55,74800667;48,74289000;1,54674029;191,60000000;
5,927406;-0,0977;0,4935;0,7730;55,74800667;48,74289000;1,54674029;191,60000000;
6,028202;-0,0518;0,4456;1,2333;55,74800667;48,74289000;1,54674029;191,60000000;
6,130418;0,1300;0,3274;1,3886;55,74800667;48,74289000;1,54674029;191,60000000;
6,230289;0,1485;0,3264;0,9782;55,74800667;48,74289000;1,54674029;191,40000000;
6,331137;0,1847;0,2766;0,7202;55,74802500;48,74288000;1,54776967;191,40000000;
6,431682;0,2599;0,4046;0,7056;55,74802500;48,74288000;1,54776967;191,40000000;
6,532233;0,2707;0,4466;0,9538;55,74802500;48,74288000;1,54776967;191,40000000;
6,632702;0,3665;0,3958;1,1131;55,74802500;48,74288000;1,54776967;191,40000000;
6,733589;0,3020;0,3596;0,9215;55,74802500;48,74288000;1,54776967;191,40000000;
6,833936;0,0332;0,3068;0,7153;55,74802500;48,74288000;1,54776967;191,40000000;
6,934077;-0,0860;0,4339;0,6430;55,74802500;48,74288000;1,54776967;191,40000000;
7,034774;-0,2003;0,6010;0,7964;55,74802500;48,74288000;1,54776967;191,40000000;
7,135377;-0,0821;0,4525;1,2929;55,74802500;48,74288000;1,54776967;191,40000000;
7,235994;-0,0782;0,4691;0,8082;55,74802500;48,74288000;1,54776967;191,30000000;
7,336711;0,1906;0,2658;0,9430;55,74806000;48,74283333;0,99238443;191,30000000;
7,436468;0,0733;0,3704;0,5238;55,74806000;48,74283333;0,99238443;191,30000000;
7,537647;0,2169;0,4955;0,8316;55,74806000;48,74283333;0,99238443;191,30000000;
7,638691;0,2238;0,4173;1,0691;55,74806000;48,74283333;0,99238443;191,30000000;
7,738608;0,3205;0,2932;1,1932;55,74806000;48,74283333;0,99238443;191,30000000;
7,839082;0,2873;0,3977;0,7906;55,74806000;48,74283333;0,99238443;191,30000000;
7,939924;0,0479;0,4007;0,6029;55,74806000;48,74283333;0,99238443;191,30000000;
8,040305;-0,0450;0,5150;0,8111;55,74806000;48,74283333;0,99238443;191,30000000;
8,140790;0,0078;0,5316;1,1453;55,74806000;48,74283333;0,99238443;191,30000000;
