
time;gFx;gFy;gFz;Azimuth;Pitch;Roll;
0,096258;-0,0127;-0,0147;0,9948;200,7401;1,1656;-0,6671;
0,196101;-0,0147;-0,0195;1,0056;201,4907;1,1055;-0,8356;
0,296124;-0,0098;-0,0117;0,9948;201,4954;0,9000;-0,4982;
0,396243;-0,0098;-0,0156;1,0026;201,4947;0,8943;-0,5602;
0,496584;-0,0020;-0,0176;1,0026;201,4976;0,8917;-0,3920;
0,597040;-0,0156;-0,0235;1,0007;201,4870;1,3424;-0,8951;
0,697287;-0,0107;-0,0156;1,0056;201,4927;0,6150;-0,7266;
0,797622;-0,0098;-0,0205;1,0007;201,4957;1,1750;-0,5595;
0,897879;-0,0068;-0,0166;0,9968;201,4941;0,7791;-0,5010;
0,998154;-0,0078;-0,0176;1,0007;201,4947;1,0063;-0,4479;
1,098444;-0,0049;-0,0176;1,0046;201,4902;0,7797;-0,7792;
1,198897;-0,0010;-0,0176;1,0017;201,5037;1,0061;-0,0569;
1,299453;-0,0127;-0,0195;0,9987;201,4927;1,1205;-0,7283;
1,402413;-0,0078;-0,0166;1,0017;201,5026;1,1225;-0,3370;
1,503804;-0,0068;-0,0156;1,0036;201,5012;0,8937;-0,3909;
1,603939;-0,0059;-0,0137;1,0046;201,5026;0,7802;-0,3341;
1,705105;-0,0117;-0,0195;0,9968;201,5031;1,0630;-0,3916;
1,805658;-0,0098;-0,0195;1,0007;201,5006;1,1189;-0,5595;
1,906856;-0,0039;-0,0156;1,0017;201,5070;0,8946;-0,2239;
2,007618;-0,0107;-0,0156;0,9997;201,5011;0,8936;-0,6148;
2,108590;-0,0127;-0,0195;0,9977;201,4980;1,1215;-0,7289;
2,208932;-0,0137;-0,0127;1,0026;201,4958;0,8977;-0,8404;
2,310381;-0,0098;-0,0127;1,0075;201,4979;0,7222;-0,5552;
2,410559;-0,0147;-0,0156;1,0075;201,4960;0,8955;-0,7266;
2,511817;-0,0127;-0,0176;1,0036;201,4982;1,0019;-0,7236;
2,612372;-0,0107;-0,0127;1,0007;201,4994;0,7273;-0,6155;
2,714436;-0,0068;-0,0195;1,0046;201,4990;0,9557;-0,6168;
2,814127;-0,0059;-0,0156;0,9968;201,5037;0,8990;-0,3374;
2,914614;-0,0127;-0,0225;1,0017;201,4975;0,9468;-0,7784;
3,014944;-0,0117;-0,0186;0,9968;201,4994;1,0692;-0,6715;
3,116677;-0,0156;-0,0176;1,0026;201,4964;1,0051;-0,8934;
3,216755;-0,0117;-0,0186;1,0036;201,4998;1,2234;-0,6680;
3,317239;-0,0107;-0,0147;1,0046;201,4996;0,8356;-0,6135;
3,418570;-0,0068;-0,0147;0,9997;201,5039;1,0071;-0,2810;
3,519079;-0,0098;-0,0195;1,0007;201,4971;1,1185;-0,5605;
3,619071;-0,0078;-0,0186;0,9977;201,4998;1,0628;-0,4458;
3,719422;-0,0088;-0,0195;1,0017;201,5001;1,1190;-0,5046;
3,820188;-0,0088;-0,0166;0,9987;201,5012;0,9534;-0,5049;
3,921825;-0,0088;-0,0176;0,9958;201,4951;1,1686;-0,8361;
4,022339;-0,0127;-0,0156;0,9997;201,4974;0,8969;-0,7283;
4,122901;-0,0215;-0,0205;1,0026;201,4980;1,0114;-0,5074;
4,223305;-0,0127;-0,0215;1,0036;201,4960;1,2282;-0,7244;
4,324003;-0,0137;-0,0176;1,0007;201,4951;1,0054;-0,7823;
4,425147;-0,0107;-0,0186;0,9987;201,4988;0,8975;-0,5049;
4,526303;-0,0127;-0,0195;0,9948;201,4969;1,1254;-0,7332;
4,626755;-0,0068;-0,0195;0,9997;201,4986;1,2828;-0,6135;
4,727325;-0,0137;-0,0186;1,0026;201,4956;1,0604;-0,7802;
4,827890;-0,0039;-0,0215;1,0026;201,5006;1,1193;-0,4504;
4,928345;-0,0127;-0,0215;0,9987;201,4938;1,2815;-0,7802;
5,028609;-0,0059;-0,0205;0,9958;201,4991;1,1811;-0,3378;
5,129691;-0,0039;-0,0176;1,0026;201,4969;0,9528;-0,4500;
